PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,0,3,0,0.2711736617240513,1,0,0.014151057562208049,0
3,1,3,1,0.32143754712239253,0,0,0.015468569817999833,0
4,1,1,1,0.43453128926866047,1,0,0.10364429745562033,0
5,0,3,0,0.43453128926866047,0,0,0.015712553569072387,0
6,0,3,0,0.3465694898215632,0,0,0.01650950209357577,2
7,0,1,0,0.6732847449107816,0,0,0.10122885832000206,0
8,0,3,0,0.01985423473234481,3,1,0.04113566043083236,0
9,1,3,1,0.33400351847197784,0,2,0.021730754366528396,0
10,1,2,1,0.17064589092736868,1,0,0.058694292654020104,1
11,1,3,1,0.04498617743151546,1,1,0.03259622914329302,0
12,1,1,1,0.7235486303091229,0,0,0.051822148727810165,0
13,0,3,0,0.24604171902488062,0,0,0.015712553569072387,0
14,0,3,0,0.4847951746670017,1,5,0.06104473451835265,0
15,0,3,1,0.17064589092736868,0,0,0.015330377421392339,0
16,1,2,1,0.6858507162603669,0,0,0.03122992013728673,0
17,0,3,0,0.01985423473234481,4,1,0.056848213999904744,2
18,1,2,0,0.3465694898215632,0,0,0.025374310111545468,0
19,0,3,1,0.38426740387031916,1,0,0.03513366015444757,0
20,1,3,1,0.3465694898215632,0,0,0.014102260811993537,1
21,0,2,0,0.43453128926866047,0,0,0.050748620223090936,0
22,1,2,0,0.42196531791907516,0,0,0.025374310111545468,0
23,1,3,1,0.18321186227695402,0,0,0.015671954672893913,2
24,1,1,0,0.3465694898215632,0,0,0.06929138530460492,0
25,0,3,1,0.09525006282985675,3,1,0.04113566043083236,0
26,1,3,1,0.4722292033174164,1,5,0.061264319894317944,0
27,0,3,0,0.3465694898215632,0,0,0.014102260811993537,1
29,1,3,1,0.3465694898215632,0,0,0.01537917417160685,2
30,0,3,0,0.3465694898215632,0,0,0.015411575213749284,0
31,0,1,0,0.4973611460165871,0,0,0.05410739813385612,1
33,1,3,1,0.3465694898215632,0,0,0.015126992566498259,2
34,0,2,0,0.8240764011058055,0,0,0.020494635090094415,0
36,0,1,0,0.5224930887157577,1,0,0.10149724044618187,0
37,1,3,0,0.3465694898215632,0,0,0.014110458666029575,1
38,0,3,0,0.2586076903744659,0,0,0.015712553569072387,0
39,0,3,1,0.22090977632570996,2,0,0.03513366015444757,0
40,1,3,1,0.17064589092736868,1,0,0.021942337075458514,1
41,0,3,1,0.4973611460165871,1,0,0.018493968331299484,0
42,0,2,1,0.33400351847197784,1,0,0.04098927018018883,0
43,0,3,0,0.3465694898215632,0,0,0.015411575213749284,1
44,1,2,1,0.032420206081930136,1,2,0.08115719346076702,1
45,1,3,1,0.23347574767529528,0,0,0.01537917417160685,2
46,0,3,0,0.3465694898215632,0,0,0.015712553569072387,0
47,0,3,0,0.3465694898215632,1,0,0.030253985132996517,2
48,1,3,1,0.3465694898215632,0,0,0.015126992566498259,2
49,0,3,0,0.3465694898215632,2,0,0.04231498029001666,1
50,0,3,1,0.22090977632570996,1,0,0.034743286152731485,0
51,0,3,0,0.08268409148027142,4,1,0.07746484096553544,0
52,0,3,0,0.2586076903744659,0,0,0.01522458606692728,0
54,1,2,1,0.35913546117114853,1,0,0.050748620223090936,0
55,0,1,0,0.8115104297562201,0,1,0.1209753416358076,1
56,1,1,0,0.3465694898215632,0,0,0.06929138530460492,0
57,1,2,1,0.2586076903744659,0,0,0.020494635090094415,0
58,0,3,0,0.35285247549635584,0,0,0.014110458666029575,1
59,1,2,1,0.05755214878110078,1,2,0.05416439273810667,0
60,0,3,0,0.13294797687861273,5,2,0.09154270340242172,0
61,0,3,0,0.2711736617240513,0,0,0.014110458666029575,1
64,0,3,0,0.04498617743151546,3,2,0.05445717323939373,0
65,0,1,0,0.3465694898215632,0,0,0.05410739813385612,1
66,1,3,0,0.3465694898215632,1,1,0.029757819776815374,1
67,1,2,1,0.35913546117114853,0,0,0.020494635090094415,0
68,0,3,0,0.23347574767529528,0,0,0.015923941091001644,0
69,1,3,1,0.20834380497612465,4,2,0.015468569817999833,0
70,0,3,0,0.32143754712239253,2,0,0.016908073949327893,0
71,0,2,0,0.39683337521990447,0,0,0.020494635090094415,0
72,0,3,1,0.19577783362653933,5,2,0.09154270340242172,0
74,0,3,0,0.32143754712239253,1,0,0.028212719478023115,1
75,1,3,0,0.39683337521990447,0,0,0.11027245763075773,0
76,0,3,0,0.3088715757728072,0,0,0.014931805565640218,0
77,0,3,0,0.3465694898215632,0,0,0.015411575213749284,0
78,0,3,0,0.3465694898215632,0,0,0.015712553569072387,0
79,1,2,0,0.005152048253329982,0,2,0.056604230248832196,0
80,1,3,1,0.37170143252073384,0,0,0.024349578357040744,0
81,0,3,0,0.2711736617240513,0,0,0.017566830077223785,0
82,1,3,0,0.35913546117114853,0,0,0.018542765081513996,0
83,1,3,1,0.3465694898215632,0,0,0.015200187691820024,2
84,0,1,0,0.3465694898215632,0,0,0.09193307740413781,0
85,1,2,1,0.20834380497612465,0,0,0.020494635090094415,0
86,1,3,1,0.4093993465694898,3,0,0.030937139635999665,0
87,0,3,0,0.19577783362653933,1,3,0.06709553154495196,0
88,0,3,0,0.3465694898215632,0,0,0.015712553569072387,0
90,0,3,0,0.2963056044232219,0,0,0.015712553569072387,0
91,0,3,0,0.35913546117114853,0,0,0.015712553569072387,0
92,0,3,0,0.24604171902488062,0,0,0.015330377421392339,0
93,0,1,0,0.572756974114099,1,0,0.11940564777490723,0
94,0,3,0,0.32143754712239253,1,2,0.04015972542654215,0
95,0,3,0,0.7361146016587082,0,0,0.014151057562208049,0
96,0,3,0,0.3465694898215632,0,0,0.015712553569072387,0
97,0,1,0,0.8869062578537321,0,0,0.06764049365134761,1
98,1,1,0,0.2837396330736366,0,1,0.12366716556464086,1
99,1,2,1,0.42196531791907516,0,1,0.04489301019734967,0
100,0,2,0,0.42196531791907516,1,0,0.050748620223090936,0
101,0,3,1,0.3465694898215632,0,0,0.015411575213749284,0
102,0,3,0,0.3465694898215632,0,0,0.015411575213749284,0
104,0,3,0,0.4093993465694898,0,0,0.016891873428256675,0
105,0,3,0,0.4596632319678311,2,0,0.015468569817999833,0
106,0,3,0,0.3465694898215632,0,0,0.015411575213749284,0
107,1,3,1,0.2586076903744659,0,0,0.014931805565640218,0
108,1,3,0,0.3465694898215632,0,0,0.015175789316712771,0
109,0,3,0,0.4722292033174164,0,0,0.015411575213749284,0
110,1,3,1,0.3465694898215632,1,0,0.04713766070721715,2
111,0,1,0,0.5853229454636844,0,0,0.10149724044618187,0
112,0,3,1,0.17692887660216136,1,0,0.028212719478023115,1
113,0,3,0,0.2711736617240513,0,0,0.015712553569072387,0
114,0,3,1,0.24604171902488062,1,0,0.019177122834302632,0
115,0,3,1,0.20834380497612465,0,0,0.028220722145058292,1
116,0,3,0,0.2586076903744659,0,0,0.015468569817999833,0
117,0,3,0,0.8806232721789394,0,0,0.015126992566498259,2
118,0,2,0,0.35913546117114853,1,0,0.04098927018018883,0
120,0,3,1,0.01985423473234481,4,2,0.06104473451835265,0
122,0,3,0,0.3465694898215632,0,0,0.015712553569072387,0
123,0,2,0,0.40311636089469716,1,0,0.058694292654020104,1
124,1,2,1,0.40311636089469716,0,0,0.025374310111545468,0
126,1,3,0,0.14551394822819805,1,0,0.021942337075458514,1
127,0,3,0,0.3465694898215632,0,0,0.015126992566498259,2
128,1,3,0,0.2963056044232219,0,0,0.01393967004027879,0
129,1,3,1,0.3465694898215632,1,1,0.04364049521284361,1
130,0,3,0,0.5601910027645137,0,0,0.013614293309848433,0
